timestamp_s,engine_rpm,vehicle_speed_kph,throttle_position_pct,coolant_temperature_c,intake_air_temperature_c,engine_load_pct
0,818,0.0,2.1,72.2,35.6,12.8
1,773,0.0,1.4,72.3,35.6,9.6
2,806,0.0,1.8,72.4,35.5,12.6
3,790,0.0,1.8,72.6,35.7,11.8
4,836,0.0,2.4,72.8,35.6,12.5
5,786,0.0,2.1,73.0,35.3,11.6
6,796,0.0,2.4,73.2,35.2,13.7
7,770,0.0,1.7,73.2,35.5,14.0
8,796,0.0,1.8,73.5,35.4,13.1
9,798,0.0,2.3,73.6,35.3,11.9
10,811,0.0,1.9,73.8,35.1,14.4
11,789,0.0,2.2,74.0,35.1,12.9
12,771,0.0,1.6,74.1,35.3,10.1
13,783,0.0,1.9,74.3,35.5,11.9
14,777,0.0,2.0,74.4,35.3,11.9
15,773,0.0,2.1,74.7,35.2,12.0
16,794,0.0,1.1,75.1,35.0,11.5
17,782,0.0,1.2,75.2,34.9,12.7
18,815,0.0,1.7,75.0,34.5,11.8
19,785,0.0,1.7,75.5,35.2,12.3
20,782,0.0,1.8,75.5,34.9,11.2
21,1258,2.4,41.0,75.6,33.8,47.5
22,1595,4.6,38.8,75.8,33.1,47.3
23,1818,6.4,35.8,76.1,33.4,42.4
24,2006,8.4,37.2,76.0,33.3,44.8
25,2315,10.8,40.2,76.1,33.4,49.7
26,2540,12.9,39.5,76.5,32.9,47.2
27,2686,14.2,31.9,76.6,32.7,41.3
28,2891,16.1,37.0,76.6,33.1,45.1
29,2318,18.7,46.3,76.7,32.8,51.9
30,2435,20.7,41.2,77.2,32.3,48.1
31,2734,23.1,44.4,77.2,32.6,51.8
32,2999,26.0,51.5,77.4,32.7,60.9
33,2955,27.6,34.8,77.4,32.3,42.2
34,3127,29.8,42.5,77.5,32.4,47.8
35,3312,31.6,36.1,77.8,32.3,45.3
36,3211,32.5,24.9,78.0,32.4,32.3
37,3420,33.6,29.9,78.1,32.4,35.9
38,3535,34.7,31.2,78.5,32.4,36.2
39,3454,35.4,26.6,78.3,31.8,31.5
40,3556,36.1,25.4,78.5,32.0,32.8
41,3443,36.6,21.0,78.4,32.1,27.7
42,3671,37.4,28.7,78.9,32.0,34.5
43,2922,38.4,28.7,78.9,32.1,33.4
44,3016,39.5,31.5,79.0,31.7,37.4
45,2998,40.0,23.5,79.3,31.7,28.2
46,2941,40.7,26.8,79.2,32.1,33.7
47,3050,41.7,31.7,79.3,31.8,39.4
48,3187,43.4,37.4,79.6,31.4,43.2
49,3122,43.9,22.7,79.8,31.6,29.2
50,3203,44.3,24.0,79.8,31.5,30.1
51,3253,45.1,31.3,80.0,31.8,36.1
52,3164,45.5,22.7,80.2,31.2,29.0
53,3288,46.5,29.6,80.1,31.4,36.4
54,3237,46.9,23.8,80.1,31.5,28.6
55,3270,47.6,25.0,80.2,31.2,29.9
56,3171,47.1,2.8,80.4,31.4,15.4
57,3233,46.9,16.2,80.8,31.0,23.0
58,3214,47.1,15.6,80.8,31.3,22.4
59,3339,47.7,28.0,80.7,31.1,31.6
60,3240,47.9,15.7,81.0,31.3,25.7
61,3264,48.0,14.4,81.2,31.1,21.4
62,3286,48.1,13.1,81.0,30.8,20.8
63,3286,48.4,12.2,81.2,31.2,17.9
64,3273,48.5,14.2,81.5,31.1,22.0
65,3270,48.2,13.1,81.4,30.8,21.5
66,3265,48.0,14.6,81.5,31.3,21.8
67,3222,48.1,15.5,81.6,31.0,21.7
68,3256,48.1,14.3,81.8,31.2,21.4
69,3168,47.6,2.9,81.7,30.8,14.8
70,3202,47.5,12.4,81.8,31.1,20.8
71,2813,41.8,3.3,82.0,31.1,13.6
72,3298,35.2,2.0,82.3,31.1,11.3
73,2904,29.6,3.2,82.4,31.4,12.4
74,2497,23.7,1.6,82.4,31.0,11.9
75,2859,17.9,2.5,82.6,31.5,12.6
76,2263,12.2,3.2,82.7,31.6,12.8
77,1544,6.4,2.3,82.8,31.9,14.2
78,771,0.0,1.8,82.9,33.1,11.0
79,748,0.0,2.0,83.0,32.7,12.1
80,795,0.0,2.1,83.0,33.0,10.8
81,804,0.0,2.2,83.2,32.4,13.1
82,814,0.0,2.3,83.2,32.8,13.1
83,767,0.0,2.1,83.2,32.6,14.4
84,790,0.0,2.0,83.5,32.8,13.1
85,797,0.0,1.6,83.3,32.7,13.8
86,791,0.0,1.4,83.8,32.8,10.7
87,788,0.0,1.7,83.7,32.6,10.0
88,785,0.0,1.9,83.7,32.7,10.8
89,806,0.0,1.6,83.8,33.2,13.2
90,802,0.0,1.9,84.0,32.5,11.9
91,769,0.0,1.8,83.9,32.4,13.9
92,809,0.0,2.2,83.9,32.5,12.6
93,1316,3.0,48.7,84.3,31.1,57.3
94,1737,5.4,44.7,84.2,31.1,51.4
95,1953,7.7,40.6,84.6,31.1,48.0
96,2208,9.7,40.5,84.6,31.2,46.7
97,2397,12.0,40.1,84.6,30.9,47.9
98,2502,13.4,35.6,84.6,31.0,42.3
99,2905,16.1,43.6,84.6,30.6,52.4
100,2407,18.5,43.6,85.0,31.1,49.3
101,2491,20.4,38.1,84.6,30.6,44.2
102,2663,22.6,40.3,84.8,30.3,49.1
103,2814,25.1,44.2,85.0,30.6,49.6
104,3004,27.7,46.2,85.1,30.8,52.8
105,3137,29.9,42.4,84.9,30.4,48.5
106,3268,31.9,43.1,85.2,30.4,47.3
107,3475,34.0,41.8,85.2,30.5,49.0
108,3666,36.4,45.0,85.1,30.4,53.3
109,3012,38.6,41.9,85.6,30.3,49.7
110,3077,40.9,45.4,85.5,30.0,53.6
111,3135,42.2,33.5,85.6,30.2,39.6
112,3529,45.5,55.0,85.7,30.2,63.9
113,3452,47.5,43.7,85.8,30.1,50.0
114,3469,49.3,38.0,85.9,29.9,43.6
115,3634,51.6,44.1,85.8,29.6,48.9
116,3710,53.5,40.4,85.9,30.1,46.9
117,3724,54.9,32.8,86.2,29.6,37.0
118,3847,57.2,44.9,86.2,29.9,52.4
119,4023,59.1,39.3,86.1,29.6,45.8
120,4082,60.8,36.1,86.5,29.8,42.2
121,4153,62.2,36.2,86.2,29.2,43.4
122,4387,64.4,44.5,86.4,29.5,51.6
